file,line,type,commit,author,date,time,timezone,datetime,depth,length
src\app.html,5,html,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,2,56
src\app.html,6,html,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,2,52
src\app.html,7,html,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,2,15
src\app.html,8,html,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,2,19
src\app.html,9,html,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,2,60
src\app.html,10,html,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,2,65
src\app.html,11,html,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,1,6
src\app.html,12,html,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,1,41
src\app.html,13,html,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,2,52
src\app.html,14,html,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,1,6
src\app.html,15,html,4ece5fd,mariana,2025-03-27,09:52:18,-03:00,2025-03-27T09:52:18-03:00,0,6
src\routes\+page.svelte,1,svelte,ef3c1fc1,mariana,2025-03-27,10:18:31,-03:00,2025-03-27T10:18:31-03:00,0,7
src\routes\+page.svelte,2,js,ef3c1fc1,mariana,2025-03-27,10:18:31,-03:00,2025-03-27T10:18:31-03:00,0,41
src\routes\+page.svelte,3,js,ef3c1fc1,mariana,2025-03-27,10:18:31,-03:00,2025-03-27T10:18:31-03:00,0,41
src\routes\+page.svelte,4,js,24dc6c09,mariana,2025-03-27,12:37:18,-03:00,2025-03-27T12:37:18-03:00,0,0
src\routes\+page.svelte,5,js,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,66
src\routes\+page.svelte,6,svelte,ef3c1fc1,mariana,2025-03-27,10:18:31,-03:00,2025-03-27T10:18:31-03:00,0,8
src\routes\+page.svelte,7,svelte,ef3c1fc1,mariana,2025-03-27,10:18:31,-03:00,2025-03-27T10:18:31-03:00,0,0
src\routes\+page.svelte,8,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,12
src\routes\+page.svelte,9,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,56
src\routes\+page.svelte,10,svelte,9f9bbab0,mariana,2025-04-03,11:27:13,-03:00,2025-04-03T11:27:13-03:00,0,13
